45 astronomische exkurse 1000 1
6260 fol <EOS> 900 1
<BOS> 158v <EOS> 900 1
<BOS> abaron israheles 900 1
<BOS> aber dîne 1000 1
<BOS> abraham gesehen 900 1
<BOS> abraham thuo 900 3
<BOS> abunst alla 900 1
<BOS> ac cumit 900 1
<BOS> ac he 900 1
<BOS> ac it 900 1
<BOS> ac se 900 1
<BOS> ac sia 900 1
<BOS> ac siu 900 2
<BOS> ac than 900 1
<BOS> ac thea 900 1
<BOS> ac thu 900 2
<BOS> ac thô 900 1
<BOS> ac uuas 900 1
<BOS> ac uuerdad 900 1
<BOS> ac uui 900 1
<BOS> ac uuita 900 1
<BOS> ac uuârun 900 1
<BOS> ac îli 900 1
<BOS> acoran undar 900 1
<BOS> adalkêsure <EOS> 900 1
<BOS> adam endi 900 1
<BOS> adêldi te 900 1
<BOS> adêlien te 900 1
<BOS> af sulicun 900 1
<BOS> afgeben thene 900 1
<BOS> afhôbun harden 900 1
<BOS> afhôbun thô 900 1
<BOS> aftar iro 900 1
<BOS> aftar quam 900 1
<BOS> aftar them 900 2
<BOS> aftar thiu 900 1
<BOS> agalêto bad 900 1
<BOS> ageban uuard 900 1
<BOS> ageben scolde 900 1
<BOS> ahliopun eft 900 1
<BOS> ahton eldibarn 900 1
<BOS> ak uuenkeat 900 1
<BOS> al an 900 1
<BOS> al antkende 900 1
<BOS> al sô 900 1
<BOS> al te 900 1
<BOS> al thaz 900 1
<BOS> al thiu 900 1
<BOS> al uuarð 900 1
<BOS> al uuirdid 900 1
<BOS> alesane undar 900 1
<BOS> all hebbiu 900 1
<BOS> alla irminthiod 900 1
<BOS> alla langa 900 1
<BOS> allan langan 900 1
<BOS> allaro barno 900 3
<BOS> allaro hûso 900 1
<BOS> allaro sundiono 900 1
<BOS> alle gisprâkun 900 1
<BOS> alle godes 900 1
<BOS> alle sculun 900 1
<BOS> alle sie 900 1
<BOS> allero manno 900 1
<BOS> alles at 900 1
<BOS> alles obar 900 1
<BOS> alles thes 900 2
<BOS> allon elitheodon 900 1
<BOS> allon them 900 1
<BOS> allun them 900 1
<BOS> also iz 1000 1
<BOS> also petrus 1000 1
<BOS> alêdian hiet 900 1
<BOS> an allaro 900 1
<BOS> an christo 1000 1
<BOS> an erdun 900 1
<BOS> an fride 900 1
<BOS> an galilealand 900 1
<BOS> an galileo 900 3
<BOS> an godes 900 1
<BOS> an grase 900 1
<BOS> an hebenrîkea 900 2
<BOS> an iro 900 3
<BOS> an is 900 10
<BOS> an kneo 900 1
<BOS> an lidubendiun 900 1
<BOS> an middion 900 1
<BOS> an mirki 900 1
<BOS> an mînun 900 1
<BOS> an sundiun 900 1
<BOS> an sô 900 3
<BOS> an thana 900 2
<BOS> an that 900 5
<BOS> an them 900 4
<BOS> an themu 900 8
<BOS> an thena 900 1
<BOS> an thene 900 2
<BOS> an thero 900 1
<BOS> an theru 900 2
<BOS> an thesan 900 2
<BOS> an thesaro 900 1
<BOS> an thesaru 900 2
<BOS> an thesen 900 1
<BOS> an thesero 900 1
<BOS> an thesoro 900 1
<BOS> an thesum 900 1
<BOS> an thesumu 900 1
<BOS> an thi 900 1
<BOS> an thiu 900 1
<BOS> an thriddian 900 1
<BOS> an uuêkan 900 1
<BOS> an ên 900 1
<BOS> an êne 900 1
<BOS> andrêd that 900 1
<BOS> anduuordi gaf 900 1
<BOS> antat sie 900 1
<BOS> antdrâdad iu 900 1
<BOS> antfangan fader 900 1
<BOS> antfâhad ina 900 1
<BOS> antheftien is 900 1
<BOS> antkennian ni 900 1
<BOS> antthat is 900 1
<BOS> antthat sie 900 1
<BOS> antuuarp undar 900 1
<BOS> ardon môtun 900 1
<BOS> aristotiles lêret 1000 1
<BOS> arês im 900 1
<BOS> aus consolatio 1000 1
<BOS> aut ex 1000 1
<BOS> auuahsan an 900 1
<BOS> auuôhs al 900 1
<BOS> balouues gibuotian 900 1
<BOS> barn an 900 1
<BOS> barn be 900 1
<BOS> barn drohtines 900 1
<BOS> barno that 900 1
<BOS> be huilicun 900 1
<BOS> be that 900 1
<BOS> be thiu 900 1
<BOS> bedêlide sulicoro 900 1
<BOS> began ina 900 1
<BOS> began siu 900 1
<BOS> begunni an 900 1
<BOS> behuuî ni 900 1
<BOS> benidiun blêka 900 1
<BOS> besuîcan an 900 1
<BOS> betera is 900 1
<BOS> bethiu gi 900 1
<BOS> bethiu man 900 1
<BOS> bethiu mêd 900 1
<BOS> bethiu ne 900 2
<BOS> bethiu ni 900 4
<BOS> bethiu scal 900 2
<BOS> bethiu scalt 900 1
<BOS> bethiu sculun 900 4
<BOS> bethiu sind 900 1
<BOS> bethiu thar 900 1
<BOS> bethiu uuili 900 1
<BOS> bethiu uuârun 900 1
<BOS> beuurpun ina 900 1
<BOS> bi huldi 900 1
<BOS> bi sinan 900 1
<BOS> bi themu 900 1
<BOS> bi theru 900 1
<BOS> bidun allan 900 1
<BOS> biforan theru 900 1
<BOS> bigan im 900 1
<BOS> bigan imu 900 1
<BOS> bigunnun im 900 1
<BOS> bihlagan mid 900 1
<BOS> bihuuî thu 900 1
<BOS> biklemmid an 900 1
<BOS> bilibit her 900 1
<BOS> bilôsien mi 900 1
<BOS> biscop thero 900 1
<BOS> bist thi 900 1
<BOS> bist thu 900 2
<BOS> bisuêc mit 900 1
<BOS> bithiu scal 900 1
<BOS> bithuungen an 900 1
<BOS> bittres brengit 900 1
